,MFCC,Centroid,Rolloff,Flux,Zero Crossing Rate,OSC,Low Energy,OMSC,MSFM,MSCM,Genre
0,"[ 0.23273651 -0.14507515  0.09629803 -0.08864335  0.01896964 -0.09751936
  0.05473095 -0.0941633   0.03822457 -0.07386042  0.01383223 -0.06711133
  0.03271376 -0.02074313  0.0468917 ]",0.016133477715893057,0.012973785400390625,3.391532444778369e-05,0.008245849609375,"[-0.34304398 -0.30250843 -0.30154716 -0.33089148 -0.35157547 -0.38262708
 -0.39581942 -0.43626864 -0.5708006   0.09561351  0.08547999  0.08723055
  0.11941124  0.12333481  0.12275101  0.10717101  0.09125423  0.18512744]",5.78125,"[0.04367531 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.59896432 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.90306969  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
1,"[ 0.32389681  0.12377608  0.20273822  0.00492909  0.07454173 -0.06577927
  0.08861398 -0.10035593  0.03510868 -0.07320495  0.01338099 -0.06612196
  0.02425498 -0.03401738  0.03182087]",0.011814803035330869,0.004355621337890625,2.8847476917487432e-05,0.004024505615234375,"[-0.33062583 -0.30649419 -0.30870446 -0.37370907 -0.41078592 -0.44444039
 -0.45750651 -0.48862153 -0.60283698  0.09904679  0.11232981  0.09463855
  0.11672974  0.10712588  0.09782675  0.08921042  0.0846886   0.17595399]",5.78125,"[0.06951363 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.61576337 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[8.53137481 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0
2,"[ 0.23007047 -0.20092851  0.04056771 -0.17649461  0.02744809 -0.19393891
 -0.02430824 -0.09876781  0.00107241 -0.10211671  0.02124331 -0.07806181
 -0.01128124 -0.04744635  0.00585153]",0.015364176183314666,0.012160491943359376,4.18262021110162e-05,0.007897186279296874,"[-0.39529071 -0.33895096 -0.29188057 -0.31533907 -0.34774152 -0.36878409
 -0.40605719 -0.42806527 -0.57339546  0.09379422  0.0843408   0.09106034
  0.11514379  0.12133278  0.11643711  0.11411035  0.0982134   0.18173449]",4.84375,"[0.18713228 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.65157417 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[10.86820367  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
3,"[ 0.50651476 -0.04211036  0.06413306 -0.05040965  0.03396568 -0.04160689
  0.03316288 -0.07129152 -0.00855577 -0.07807945 -0.01922021 -0.07453592
 -0.03186955 -0.0854714  -0.0598382 ]",0.008126777570151992,0.003090667724609375,2.241289767955611e-05,0.00252838134765625,"[-0.41063879 -0.28674178 -0.3184915  -0.36163413 -0.37546463 -0.41886716
 -0.4577507  -0.50397832 -0.589935    0.0842759   0.12214534  0.09683014
  0.11406196  0.11109652  0.11342176  0.09708577  0.08737259  0.12541962]",5.625,"[-0.14817749  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.55132433 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[10.190298  0.        0.        0.        0.        0.        0.
  0.        0.        0.      ]",0
4,"[ 0.24058627 -0.36163413 -0.05366556 -0.25055038 -0.01142005 -0.17474516
 -0.01212357 -0.07953312 -0.02555313 -0.0937623   0.02587728 -0.05064218
  0.02177555 -0.00876966  0.02269974]",0.014215228307308817,0.013887786865234375,1.9654048284361845e-05,0.00872802734375,"[-0.4288907  -0.400971   -0.35979603 -0.35150381 -0.36462927 -0.39662655
 -0.43288429 -0.47318608 -0.60245183  0.05873617  0.11140121  0.07603406
  0.12687979  0.12959914  0.1356697   0.12964586  0.11662518  0.16407769]",4.53125,"[-0.00552627  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.61103594 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.87193429  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
5,"[ 0.43928387 -0.16058771 -0.032129   -0.21847396 -0.02476019 -0.15126244
  0.01661205 -0.08688898 -0.04126145 -0.08660501  0.03722982 -0.03025911
  0.00993822 -0.04207621  0.0148798 ]",0.010547324170274975,0.00627288818359375,1.0887313067305193e-05,0.005001068115234375,"[-0.41571824 -0.37928021 -0.37306374 -0.38472579 -0.39879678 -0.44938578
 -0.47869402 -0.51544139 -0.62762281  0.07297642  0.10299085  0.12148882
  0.15259139  0.14745907  0.13501816  0.11876263  0.09844822  0.15472559]",5.15625,"[-0.16414663  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.63743682 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[9.78843776 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0
6,"[ 0.16493823 -0.38289638  0.10012847 -0.21699075 -0.10466802 -0.21571822
 -0.00744799 -0.11223965 -0.03153853 -0.07081373  0.01774944 -0.05044108
  0.05586746  0.05602343  0.0410308 ]",0.016430604552594992,0.01496734619140625,4.195817825102209e-05,0.008608245849609375,"[-0.42005035 -0.40741257 -0.37251937 -0.3719826  -0.38961248 -0.41468544
 -0.41814835 -0.46710047 -0.59353501  0.07378814  0.07192502  0.10635447
  0.18397133  0.15930272  0.14363907  0.14343799  0.12754831  0.16286495]",5.625,"[-0.06204468  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.6037795 0.        0.        0.        0.        0.        0.
 0.        0.        0.       ]","[9.77888188 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0
7,"[ 3.14363503e-01 -1.94366935e-01  8.62986416e-02 -1.22573167e-01
 -2.44912302e-02 -2.29944124e-01  4.11451126e-02 -2.04092738e-01
 -3.70524104e-02 -1.16885954e-01 -4.73400709e-02 -6.33283186e-02
 -2.81965400e-04 -2.01567278e-02  5.50921104e-03]",0.013286984777280218,0.00780487060546875,1.7958449269240022e-05,0.005342864990234375,"[-0.41020891 -0.37702952 -0.32756589 -0.37182579 -0.39953784 -0.41915175
 -0.43429262 -0.49162448 -0.62134136  0.06643521  0.09409587  0.10802227
  0.14771869  0.1296164   0.11316534  0.10756496  0.10780561  0.18932572]",5.78125,"[0.03467688 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.5967799 0.        0.        0.        0.        0.        0.
 0.        0.        0.       ]","[11.4062694  0.         0.         0.         0.         0.
  0.         0.         0.         0.       ]",0
8,"[ 0.23496416 -0.10433771  0.10896049 -0.10995238  0.0234468  -0.10836535
  0.09139022 -0.1265883   0.00783572 -0.12655532  0.01758187 -0.04167419
  0.02779823 -0.08810807 -0.00781455]",0.016057466011464298,0.009746551513671875,4.062789330706394e-05,0.007051849365234375,"[-0.39466315 -0.26924103 -0.29613512 -0.31835244 -0.3330958  -0.37424423
 -0.38932411 -0.42645119 -0.56972228  0.11400135  0.10202542  0.08762434
  0.11711393  0.11481188  0.10314786  0.11192963  0.0956806   0.20158006]",5.9375,"[0.07439061 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.60324874 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[12.09577491  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
9,"[ 0.15420165 -0.15949687  0.08973199 -0.25661258  0.06739354 -0.11392584
  0.03907058 -0.09444325  0.06548291 -0.07412804  0.07927319 -0.01963034
  0.08127131  0.04992617  0.0335822 ]",0.01826369266587901,0.013416290283203125,2.7812113367968242e-05,0.009078216552734376,"[-0.34133881 -0.34155633 -0.36735042 -0.35539482 -0.39045853 -0.41943653
 -0.44246361 -0.44881087 -0.60204925  0.0581491   0.07300638  0.08867626
  0.14698587  0.15637515  0.13458083  0.1203556   0.11605285  0.20485218]",5.15625,"[-0.10785895  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.59992369 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.61887159  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
10,"[ 0.29405084 -0.47709366 -0.05677804 -0.16218336  0.0490153  -0.03953619
  0.06925828 -0.09173291  0.00311475 -0.01250984  0.02273834 -0.0232893
  0.04137304  0.01893264  0.05759243]",0.012528999899571517,0.010111236572265625,4.258636719207598e-05,0.00760345458984375,"[-0.37199638 -0.35240088 -0.35213753 -0.3555121  -0.35503526 -0.37708707
 -0.40550078 -0.46841127 -0.5846467   0.08585265  0.06724402  0.05316172
  0.12535773  0.17289649  0.15060989  0.12151141  0.10528785  0.14936254]",4.375,"[0.05989996 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.61516631 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.01130586  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
11,"[ 0.30440763 -0.01962991  0.10865113 -0.04832993  0.04121969 -0.10790766
  0.0283324  -0.13667267 -0.02881265 -0.09899091  0.01018736 -0.07046299
 -0.0096408  -0.07917063 -0.03491465]",0.012987881759838232,0.0056060791015625,1.4192064425312965e-05,0.00456695556640625,"[-0.43735237 -0.33553398 -0.3692575  -0.39099785 -0.42513059 -0.45696967
 -0.47480031 -0.51089161 -0.62280387  0.07096513  0.10192261  0.12873884
  0.11517543  0.10168688  0.10805719  0.09330126  0.07904198  0.15970246]",5.9375,"[-0.21990513  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.65240956 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[8.28002271 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0
12,"[ 0.22019194 -0.1588923   0.2547121  -0.18775266  0.02764341 -0.03865715
 -0.00173559 -0.02923838  0.11584045 -0.0812143   0.06283347  0.0292459
  0.05392138  0.06485639  0.0993972 ]",0.01622197285199985,0.0177276611328125,2.646375792207299e-05,0.00924530029296875,"[-0.34592636 -0.31198446 -0.36047056 -0.36615718 -0.40474257 -0.43257382
 -0.44656919 -0.47541946 -0.60312428  0.10215233  0.06508139  0.06877618
  0.15712286  0.14539013  0.12684537  0.13351676  0.15423697  0.16577867]",5.15625,"[-0.02979388  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.62808533 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.69083776  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
13,"[ 0.37464382  0.11947135  0.1304522  -0.07097608  0.0034493  -0.10456162
 -0.00928507 -0.08455448  0.07611345 -0.08059881  0.0368407  -0.00884135
  0.07213137  0.02029252  0.08967144]",0.010339348659144808,0.003912353515625,2.723317763591746e-05,0.00336761474609375,"[-0.31071653 -0.29250463 -0.31903665 -0.34393922 -0.39838413 -0.43138437
 -0.4590057  -0.47781543 -0.57732669  0.09380528  0.06392609  0.09804422
  0.15585055  0.13013841  0.11102982  0.10479818  0.09322401  0.15699765]",5.625,"[-0.01973978  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.62394854 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.7567288  0.         0.         0.         0.         0.
  0.         0.         0.         0.       ]",0
14,"[ 0.45400561 -0.07634859  0.10578771 -0.06953152 -0.01244475 -0.04048993
  0.04037518 -0.01327441  0.10558398 -0.06081434  0.03721979 -0.00087537
  0.04874388  0.0285764   0.10334324]",0.009095203450548248,0.004962921142578125,1.9964524794360035e-05,0.003813934326171875,"[-0.33009843 -0.32301605 -0.36395416 -0.39006889 -0.42567767 -0.4560539
 -0.47402607 -0.5226228  -0.61111816  0.09620348  0.07188722  0.08226096
  0.17040158  0.18323095  0.13698786  0.11632072  0.11393969  0.13717346]",6.875,"[-0.15067944  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.63640664 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[10.77814014  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
15,"[ 0.19908214 -0.11379728  0.20283873 -0.07723385  0.01718002 -0.04752564
  0.03132911 -0.06652739  0.13753783 -0.06386566  0.0347753   0.02646607
  0.08241687 -0.00098289  0.07053022]",0.015824442804297033,0.01254119873046875,2.1438055755928764e-05,0.009018707275390624,"[-0.3520622  -0.32943938 -0.36248006 -0.38769434 -0.42270406 -0.44346426
 -0.44963558 -0.48629996 -0.60713139  0.10646282  0.06383978  0.08451472
  0.14962443  0.14156637  0.12985579  0.1234184   0.11931171  0.17059051]",5.9375,"[-0.14817969  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.59904251 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[10.39699035  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
16,"[ 0.35426545 -0.15107104  0.08800123 -0.05975897  0.04223088 -0.04455409
  0.06424951 -0.02650019  0.10773886 -0.13307616 -0.00277833  0.00525629
  0.09354879 -0.00113328  0.06485983]",0.012535652413529613,0.01021575927734375,2.6397731991891317e-05,0.006534576416015625,"[-0.32219469 -0.29109813 -0.34077871 -0.36361713 -0.38489815 -0.41056135
 -0.43765689 -0.4798708  -0.59972307  0.09381096  0.06079849  0.08003139
  0.1450426   0.15849946  0.13342309  0.11840812  0.10989618  0.17087878]",5.15625,"[-0.08390766  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.57857059 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[12.22604022  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
17,"[ 0.35001313 -0.07066388  0.29456595 -0.11137332 -0.0380032  -0.08016827
  0.0248591  -0.06374595  0.07529028 -0.08723119 -0.00784314  0.03747972
  0.05326077  0.00923003  0.07722356]",0.012687606451734817,0.009888458251953124,3.2371783005094525e-05,0.00610198974609375,"[-0.31029488 -0.27842643 -0.31764026 -0.3425048  -0.39637733 -0.43299916
 -0.43392036 -0.47270428 -0.58306709  0.08536032  0.07999619  0.07894733
  0.15915543  0.15257743  0.13139443  0.13513269  0.13018734  0.14745479]",5.15625,"[-0.03348604  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.5852677 0.        0.        0.        0.        0.        0.
 0.        0.        0.       ]","[12.32518753  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
18,"[ 0.30437751  0.17296346  0.13990203 -0.0520967   0.03525461 -0.1232162
  0.02285694 -0.06080304  0.09268603 -0.07803678  0.06260162  0.00613368
  0.07031143 -0.05075023  0.02054008]",0.012718384190471879,0.003092193603515625,1.4991434816554042e-05,0.003777313232421875,"[-0.33092442 -0.31124018 -0.35367518 -0.37273757 -0.42573179 -0.45191148
 -0.47917034 -0.48756004 -0.60400814  0.10054413  0.06854337  0.10934999
  0.15460385  0.12605476  0.09983943  0.09952723  0.08242233  0.17783845]",6.5625,"[-0.16689266  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.58367757 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[12.52476326  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
19,"[ 0.40234133 -0.01775693  0.20412321 -0.04400147 -0.07877689 -0.10932409
  0.01976111 -0.007521    0.08488398 -0.09381817  0.0191205   0.01116823
  0.05258481 -0.00086545  0.10548178]",0.010166973762752426,0.007701873779296875,2.4613340528306236e-05,0.0054046630859375,"[-0.33121721 -0.31524067 -0.35739878 -0.38142083 -0.43316825 -0.46291007
 -0.47563371 -0.52049426 -0.60335111  0.08600307  0.06423142  0.08876271
  0.17234867  0.17061626  0.12011926  0.13288416  0.11213688  0.1346799 ]",5.9375,"[-0.11171768  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.56843688 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[10.14872191  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
20,"[ 0.29701635 -0.06887134  0.0967853  -0.10059837 -0.01276455 -0.06493206
  0.06384162 -0.06166236  0.0925328  -0.08927065  0.03308178  0.02011256
  0.10702955  0.01092501  0.07069709]",0.013030675646178196,0.0081787109375,2.2820440801153193e-05,0.00607147216796875,"[-0.34601166 -0.31645922 -0.34924821 -0.34704228 -0.39444929 -0.42551758
 -0.44295026 -0.48267872 -0.60163895  0.100021    0.06244157  0.08082952
  0.1217646   0.14494497  0.11045304  0.10769686  0.0997789   0.17211933]",5.78125,"[-0.17528902  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.61590542 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.22803105  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
21,"[ 0.43129232  0.07105376  0.18108893 -0.01858271  0.02300857 -0.05466011
  0.02360284 -0.02245225  0.13235542 -0.07687601 -0.0078837  -0.00132878
  0.03985571 -0.03046592  0.02728466]",0.009667024094131943,0.00832977294921875,2.676338980752204e-05,0.0047515869140625,"[-0.3277227  -0.28702617 -0.33525594 -0.36963225 -0.42622037 -0.45760239
 -0.48480317 -0.51444758 -0.59518739  0.10258959  0.09192555  0.08868872
  0.13602147  0.151514    0.12947693  0.12001154  0.11241244  0.1401304 ]",6.25,"[0.02052513 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.57234592 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[10.3630132  0.         0.         0.         0.         0.
  0.         0.         0.         0.       ]",0
22,"[ 0.52275203  0.11472402  0.12380406 -0.00640267  0.05522058 -0.05274685
  0.01123732 -0.04577704  0.07827825 -0.08840902  0.01287033  0.02728323
  0.05561462 -0.02233086  0.04200292]",0.007257963978156176,0.003368377685546875,1.561350295373544e-05,0.002429962158203125,"[-0.32702895 -0.29341693 -0.34507319 -0.37672761 -0.4349932  -0.4633128
 -0.50202182 -0.53258736 -0.61069311  0.09499238  0.0882226   0.10286176
  0.13769481  0.13934032  0.11372264  0.10414396  0.09763111  0.1327355 ]",5.3125,"[-0.04240117  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.61257382 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[9.62408997 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0
23,"[ 0.4741291  -0.04536164  0.18890103 -0.14905653 -0.0622423  -0.12526166
 -0.0498191  -0.06169846  0.02976396 -0.03661123 -0.00791065 -0.02521048
  0.03387174 -0.06945375  0.00978008]",0.009339461767481311,0.004903411865234375,1.9770985076012198e-05,0.004067230224609375,"[-0.32401456 -0.33480961 -0.32703244 -0.35351464 -0.41831699 -0.44303256
 -0.45846864 -0.50201192 -0.60361909  0.04947081  0.07824213  0.10930323
  0.14635212  0.16262672  0.12610986  0.1129629   0.10906838  0.12797316]",6.25,"[-0.09525046  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.58641418 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.62262562  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
24,"[ 0.38565963 -0.28260871  0.26568796 -0.08346174 -0.07115728 -0.0499363
 -0.00233522 -0.0741029   0.04053714 -0.01515098 -0.0358278   0.06092804
  0.06805877  0.00375795  0.02072699]",0.012435272220025096,0.0124298095703125,3.983063106848965e-05,0.007293701171875,"[-0.3144446  -0.34986648 -0.34901728 -0.37154769 -0.4125702  -0.4359306
 -0.4344259  -0.49726754 -0.59414402  0.06074544  0.0796314   0.11846274
  0.17807489  0.16854939  0.15781224  0.14439353  0.14127826  0.11196943]",5.46875,"[-0.10197409  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.59246834 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[12.25236428  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
25,"[ 0.49415728  0.08817625  0.28072049 -0.14261036 -0.04008623 -0.07757859
 -0.01345971 -0.04462415  0.02457613 -0.01281912  0.04530789 -0.03613333
  0.0243047  -0.03338734  0.01431957]",0.00818669811565238,0.00289764404296875,1.7620245248246344e-05,0.003124237060546875,"[-0.29551556 -0.29730957 -0.32497335 -0.35962612 -0.43013353 -0.47290134
 -0.47637579 -0.51169743 -0.60991771  0.05431681  0.06354016  0.11214597
  0.14887463  0.14662251  0.12152851  0.11238304  0.11504069  0.12750071]",6.25,"[-0.08443413  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.66847334 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[10.59231401  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
26,"[ 3.96671692e-01  1.26656602e-01  2.99790548e-01 -5.62797237e-02
  3.09404241e-02 -8.16834719e-02  4.21109736e-03 -7.30428263e-02
  2.22534408e-02 -3.44320982e-02  3.09537010e-02 -3.04153430e-04
 -1.70174302e-02 -7.02850977e-02 -1.44803402e-02]",0.008918161845591435,0.002454376220703125,1.3060840566601065e-05,0.0028564453125,"[-0.32602134 -0.35073511 -0.37395741 -0.41017289 -0.46309646 -0.49869041
 -0.5091791  -0.53166624 -0.62646825  0.05472673  0.08491992  0.15811368
  0.15801856  0.11217145  0.1124813   0.11541206  0.10228516  0.12775073]",6.40625,"[-0.1811408  0.         0.         0.         0.         0.
  0.         0.         0.         0.       ]","[0.65505207 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[10.37049948  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
27,"[ 3.91008929e-01 -1.66104194e-01  2.47327627e-01 -2.07620281e-01
 -6.68998867e-02 -1.01388863e-01 -2.78548463e-04 -4.06417496e-02
  2.31487165e-02 -2.10486626e-02 -1.82903467e-02 -4.23440332e-02
 -1.00089725e-04 -1.75228111e-02  3.55185266e-02]",0.012024263715527094,0.009706878662109375,2.6592796692882986e-05,0.005413055419921875,"[-0.32630201 -0.34331678 -0.33160586 -0.37001008 -0.41707087 -0.44644042
 -0.44344866 -0.48212495 -0.59904224  0.0492618   0.08493941  0.11831348
  0.17467608  0.18888322  0.14891413  0.13605995  0.12719822  0.12930458]",5.46875,"[-0.09838392  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.566944 0.       0.       0.       0.       0.       0.       0.
 0.       0.      ]","[13.09076559  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
28,"[ 0.40457594 -0.33003182  0.12252957 -0.02187097 -0.04263569 -0.12145283
 -0.02211921 -0.10303404  0.03660964 -0.05709725 -0.02919859 -0.01092115
  0.02593446 -0.00225712  0.00221746]",0.011507449888772172,0.0108642578125,4.796205163515666e-05,0.00741119384765625,"[-0.34324361 -0.33751913 -0.32605808 -0.3664818  -0.4055416  -0.41379609
 -0.43087284 -0.49947357 -0.59260488  0.05434481  0.05714931  0.10094099
  0.16657109  0.16634667  0.15785263  0.13642259  0.11998059  0.12852104]",5.15625,"[-0.1381777  0.         0.         0.         0.         0.
  0.         0.         0.         0.       ]","[0.60115562 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.88398964  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
29,"[ 0.14055205  0.02237649 -0.06031678 -0.12600573 -0.06728629 -0.26265289
 -0.00565843 -0.16912641 -0.01326807 -0.16691972 -0.01062723 -0.17055324
 -0.12043916 -0.11637081  0.0119664 ]",0.015939683745605664,0.005045318603515625,3.5627537518259696e-05,0.004901885986328125,"[-0.44297289 -0.41417523 -0.33253145 -0.37999788 -0.42295187 -0.44136695
 -0.47259999 -0.48429624 -0.58129699  0.04842875  0.13220023  0.13676584
  0.15819615  0.19547558  0.1371407   0.13863761  0.11040471  0.20682987]",4.6875,"[-0.26064073  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.56360765 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.31914392  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
30,"[ 0.45049984 -0.02482565 -0.0481671  -0.13885889 -0.07448543 -0.21992788
 -0.10729741 -0.24794113 -0.14488889 -0.12548005 -0.01012166 -0.06446578
 -0.02200003 -0.03760271 -0.01329706]",0.0073729046522340745,0.003155517578125,1.7327924194872282e-05,0.002835845947265625,"[-0.45056647 -0.42538547 -0.30908312 -0.36370234 -0.42966449 -0.47385545
 -0.51002453 -0.54153427 -0.60084509  0.04961305  0.17453058  0.12774143
  0.1713944   0.16227132  0.16836504  0.14741328  0.12361544  0.14835268]",4.375,"[-0.29906349  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.58869041 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[15.31848129  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
31,"[ 0.21263071  0.04650357 -0.08234929 -0.2002591  -0.09616169 -0.30093618
 -0.07274    -0.22277296 -0.01417449 -0.13810779 -0.02682719 -0.12449977
 -0.06650114 -0.05128149  0.05200194]",0.012852779488498518,0.004718780517578125,3.2218033740161776e-05,0.004065704345703125,"[-0.45466651 -0.42765853 -0.32642729 -0.3715667  -0.41517051 -0.44248612
 -0.47794331 -0.48919073 -0.57731883  0.05997672  0.14330262  0.10861753
  0.19791241  0.18840589  0.14368311  0.12568556  0.11844869  0.19425616]",5.9375,"[-0.24734731  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.58032331 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[12.13332031  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
32,"[ 0.29122346  0.02643351 -0.01459473 -0.06389545  0.0376134  -0.19118173
 -0.06886871 -0.19785602 -0.05839888 -0.15973879 -0.06903062 -0.13514927
 -0.05792599 -0.0830053   0.01515056]",0.010067801410741244,0.003247833251953125,2.538714252989315e-05,0.0026912689208984375,"[-0.42595864 -0.39649525 -0.3179738  -0.39706913 -0.42996158 -0.44781577
 -0.49057717 -0.50695906 -0.58204753  0.04415007  0.15661192  0.12855122
  0.18045404  0.15542222  0.13964097  0.13040631  0.10648987  0.16156928]",4.84375,"[-0.14233438  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.55205021 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.07903485  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
33,"[ 0.39017593  0.15577492 -0.00589724 -0.15646183 -0.06716741 -0.21843768
 -0.09509519 -0.19014591 -0.01552865 -0.08296414 -0.02881371 -0.10770726
 -0.04957909 -0.13791683 -0.03292361]",0.00864574782174715,0.003130340576171875,2.1954704717053606e-05,0.00301361083984375,"[-0.44042854 -0.41768775 -0.32698909 -0.37833337 -0.4457037  -0.47731211
 -0.51055428 -0.53085916 -0.59414837  0.05081317  0.19810575  0.14338951
  0.1670303   0.18687988  0.14719306  0.12760289  0.12110596  0.16378959]",6.71875,"[-0.23039801  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.59231071 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[12.99597462  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
34,"[ 0.20211302  0.00192033 -0.08759836 -0.13801861 -0.00842681 -0.24711366
 -0.04902065 -0.24934822 -0.01593987 -0.18791606 -0.05039519 -0.08473238
 -0.04094283 -0.08626059 -0.00684164]",0.013633853333852164,0.00548248291015625,3.362362896798258e-05,0.00443115234375,"[-0.44623443 -0.40916361 -0.32788477 -0.38223998 -0.42122126 -0.43086023
 -0.46824439 -0.49019344 -0.57323773  0.05153529  0.12547271  0.13128628
  0.18765935  0.18508992  0.14943566  0.11855483  0.1189894   0.18807367]",5.0,"[-0.23799757  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.59189321 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.5870388  0.         0.         0.         0.         0.
  0.         0.         0.         0.       ]",0
