,MFCC,Centroid,Rolloff,Flux,Zero Crossing Rate,OSC,Low Energy,OMSC,MSFM,MSCM,Genre
185,"[ 0.29004855 -0.43354075 -0.11693378 -0.17051202 -0.11649325 -0.07918137
 -0.05729975 -0.01990403 -0.00527236 -0.00298391 -0.03579159 -0.00782117
 -0.00380818  0.03201307  0.01616677]",0.012795990797795065,0.0128387451171875,8.616483797669688e-06,0.00866851806640625,"[-0.4251067  -0.45893378 -0.42910231 -0.38869074 -0.38973078 -0.42145805
 -0.46787945 -0.53701176 -0.58313315  0.06610766  0.09017039  0.13318704
  0.12446243  0.13477602  0.13477141  0.13645794  0.12943934  0.08769749]",5.78125,"[-0.51739158  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.48097526 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[14.60980843  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
186,"[ 0.59065944 -0.30978271 -0.07180436 -0.13339569 -0.07305051 -0.06432584
 -0.02033233  0.01337967  0.004668   -0.01235727 -0.03383534 -0.00459637
 -0.05621633 -0.04670357 -0.05225251]",0.008522066011030933,0.00746002197265625,7.712038924526183e-06,0.005303192138671875,"[-0.43487599 -0.39376809 -0.39848752 -0.38363959 -0.40724677 -0.45336832
 -0.51040879 -0.57810273 -0.62526716  0.06337991  0.12427086  0.1059516
  0.13498853  0.15399186  0.14969789  0.15112591  0.13172487  0.08618941]",5.9375,"[-0.29665603  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.58584437 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[14.13747511  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
187,"[ 0.69247096 -0.22256513 -0.16195459 -0.1459643  -0.15083519 -0.09505026
 -0.05033799 -0.02798165 -0.00666099  0.00371942 -0.03163484  0.01468573
  0.00312216 -0.02475588 -0.00152803]",0.006866090912226652,0.005545806884765625,9.412754401123557e-06,0.004323577880859375,"[-0.38649299 -0.41074182 -0.38293438 -0.35324212 -0.3876847  -0.44341985
 -0.49932299 -0.56147888 -0.59730034  0.0680873   0.11927519  0.14194133
  0.15164516  0.16047679  0.15201719  0.14011801  0.10306691  0.07763487]",5.3125,"[-0.43854658  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.46870522 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[17.48955758  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
188,"[ 0.50269295 -0.23132965 -0.03590179 -0.06435658 -0.08364176 -0.04378166
 -0.01504887  0.01881504  0.00728281  0.01309582 -0.04257771 -0.0541529
 -0.05634497 -0.05446853 -0.02473917]",0.00951595797719467,0.0061309814453125,6.563611798014736e-06,0.004723358154296875,"[-0.40939467 -0.38375615 -0.39287615 -0.38334473 -0.40586045 -0.4407923
 -0.49020812 -0.56195804 -0.60309112  0.0712238   0.09912126  0.11700996
  0.10301444  0.13163172  0.11337381  0.11602329  0.10678279  0.07739491]",5.625,"[-0.39837426  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.55950533 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[14.72989817  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
189,"[ 0.17621923 -0.28373767  0.1757578  -0.06707717  0.08709103 -0.03832171
  0.12348549 -0.06516114  0.0447578  -0.04732115  0.08329085 -0.04904561
 -0.03485628 -0.12282424 -0.00844433]",0.017044761632416684,0.01839141845703125,2.5897471372116205e-05,0.011832427978515626,"[-0.29929888 -0.30010373 -0.34927088 -0.38228475 -0.38540278 -0.40320432
 -0.41937846 -0.46128831 -0.59125215  0.05694535  0.09460471  0.13134627
  0.14528335  0.14352683  0.16476424  0.16419867  0.14261751  0.19799082]",5.78125,"[-0.070925  0.        0.        0.        0.        0.        0.
  0.        0.        0.      ]","[0.50653597 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[14.97479474  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
190,"[-0.12173489 -0.25613663  0.1001775  -0.0491462   0.18899391  0.02720511
  0.1792186   0.01391099  0.0602123  -0.09530919  0.12624711  0.07744614
  0.10905635 -0.01312676  0.04043016]",0.022683526755679237,0.028395843505859376,2.1192730432767574e-05,0.0166748046875,"[-0.29632286 -0.3459932  -0.41544446 -0.43570065 -0.41401465 -0.43854379
 -0.45190557 -0.48045274 -0.59251715  0.06852282  0.06956315  0.09424251
  0.15742961  0.14602786  0.17555234  0.18565343  0.17277128  0.2171248 ]",7.03125,"[-0.21957195  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.55317165 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[14.38085165  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
191,"[ 0.08989619 -0.24430047  0.20013005 -0.03342308  0.12177399 -0.03233388
  0.09411911 -0.09711842  0.03309263 -0.06041968  0.07813507 -0.02755212
 -0.01042038 -0.1173858  -0.02583705]",0.018541300354186094,0.019289398193359376,1.9412897679646914e-05,0.011299896240234374,"[-0.30132781 -0.30725769 -0.3731677  -0.41652196 -0.41520808 -0.41282307
 -0.42480494 -0.46132673 -0.58267701  0.06277137  0.09601174  0.18219997
  0.18910919  0.1497703   0.17285265  0.16581414  0.14993029  0.19986419]",6.71875,"[-0.19383028  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.48008987 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[18.46861273  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
192,"[ 0.32811832 -0.25541417  0.13594036 -0.11722563 -0.01402111 -0.09676225
  0.06695388 -0.01998237  0.07349944 -0.08142658  0.00996196 -0.07374411
  0.00760348 -0.04637455 -0.00249556]",0.013293457984208442,0.01167144775390625,2.437905347201082e-05,0.00747833251953125,"[-0.34328339 -0.32957014 -0.33671822 -0.36621121 -0.36439744 -0.40878895
 -0.42042966 -0.47160758 -0.5795874   0.05113276  0.15161949  0.12244609
  0.17492202  0.15633364  0.16257903  0.15474919  0.14030457  0.17247742]",5.9375,"[-0.05560995  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.44611305 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[18.75450953  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
193,"[ 0.27900963 -0.23408945  0.04606184 -0.0439204   0.0071516  -0.17012537
 -0.00897079 -0.08501568  0.01957327 -0.12241587 -0.02256041 -0.06270174
  0.03989814 -0.07606125 -0.01625206]",0.013790413244304894,0.012754058837890625,2.002082482608561e-05,0.008850479125976562,"[-0.38078226 -0.34253158 -0.34782219 -0.35545336 -0.38437342 -0.41067954
 -0.44863776 -0.5006866  -0.59952734  0.05483245  0.10364731  0.13486737
  0.11475586  0.12711913  0.15614466  0.14310025  0.12750887  0.17773337]",4.84375,"[-0.15782552  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.54769625 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[14.04166  0.       0.       0.       0.       0.       0.       0.
  0.       0.     ]",1
194,"[ 0.21473775 -0.3518965   0.0929394  -0.10092507  0.04698255 -0.01428269
  0.13560354  0.02297753  0.16406282  0.00076793  0.05336905 -0.07829576
 -0.04465806 -0.0186915   0.0690434 ]",0.014796778733733534,0.0148681640625,1.4903985021319244e-05,0.009367752075195312,"[-0.2847606  -0.33584935 -0.39060377 -0.39743125 -0.40625477 -0.40953222
 -0.42246272 -0.48030433 -0.5976256   0.04554862  0.066072    0.12306874
  0.13255507  0.18674736  0.15437588  0.13956313  0.1297242   0.17320505]",4.53125,"[-0.20424458  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.489644 0.       0.       0.       0.       0.       0.       0.
 0.       0.      ]","[17.95961329  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
